,University,International_Students,Percentage_Female,Percentage_Male,Teaching,Research,Citations,Industry_Income,International_Outlook,location
89,Staffordshire University,0.12,0.49,0.51,0.168,0.098,0.428,0.34600000000000003,0.522,"(52.8131677, -2.0802228, 0.0)"
90,University of Wolverhampton,0.21,0.61,0.39,0.158,0.133,0.35,0.345,0.653,"(52.58845315000001, -2.126887172257858, 0.0)"
91,Birmingham City University,0.23,0.62,0.38,0.16,0.10300000000000001,0.374,0.34600000000000003,0.628,"(52.43068395, -1.9351911800248247, 0.0)"
92,University of Bedfordshire,0.34,0.62,0.38,0.16899999999999998,0.136,0.293,0.349,0.7709999999999999,"(51.877864200000005, -0.41062319261577607, 0.0)"
93,University of Derby,0.13,0.56,0.44,0.162,0.10300000000000001,0.32,0.35100000000000003,0.588,"(52.937954700000006, -1.497999105195924, 0.0)"
94,Robert Gordon University,0.22,0.62,0.38,0.168,0.113,0.233,0.35200000000000004,0.75,"(57.1186191, -2.1397003393363447, 0.0)"
95,University of South Wales,0.19,0.53,0.47,0.162,0.092,0.27899999999999997,0.349,0.64,"(51.5860883, -2.9906177, 0.0)"
96,Edge Hill University,0.05,0.68,0.32,0.14800000000000002,0.102,0.331,0.344,0.424,"(53.5583158, -2.8692724627754553, 0.0)"
97,University of Chester,0.11,0.67,0.33,0.158,0.127,0.248,0.348,0.466,"(53.1857524, -2.891162674972156, 0.0)"
98,London South Bank University,0.33,0.56,0.44,0.154,0.10400000000000001,0.18100000000000002,0.348,0.753,"(51.497788, -0.10185926156148581, 0.0)"
99,Canterbury Christ Church University,0.12,0.68,0.32,0.16399999999999998,0.113,0.201,0.344,0.424,"(51.27918085, 1.090230903404285, 0.0)"
